"","Var1","Freq"
"1","가족",1
"2","가평역",1
"3","가평역에서펜션까지얼마나걸리나요",1
"4","가평제일",1
"5","간장",1
"6","강아지동반되",1
"7","개월",3
"8","개월아기도",1
"9","객실",4
"10","객실내",1
"11","객실사용하면",1
"12","결제방법",1
"13","계좌이체했는데요",1
"14","광역철도",1
"15","구비되",1
"16","근처",1
"17","글",1
"18","금요일",2
"19","금요일날",1
"20","급하",2
"21","기본",2
"22","기차",1
"23","김이슬",1
"24","김한석",1
"25","까운곳",1
"26","꺄아",1
"27","나머지",1
"28","날",1
"29","날씨보",1
"30","날짜",2
"31","날짜변경",1
"32","남이섬",7
"33","남자",1
"34","내",7
"35","내일",2
"36","노트북",1
"37","놈덴",1
"38","놈덴방",2
"39","뉴스보",1
"40","늦은시간이라",1
"41","다니",1
"42","다다음주",1
"43","다음주",4
"44","단체",3
"45","단체룸",1
"46","담주",2
"47","대중교통",2
"48","도트룸",2
"49","도트방",6
"50","돈",1
"51","돌",1
"52","동물원",1
"53","두명",1
"54","뒤",1
"55","드라이기",2
"56","디니",3
"57","디니에방",1
"58","라우",4
"59","라우방",1
"60","라우예약한",1
"61","러셀",1
"62","러셀과",1
"63","러셀방",2
"64","러셀방에",1
"65","레저",1
"66","로방예약",1
"67","루브스",4
"68","루브스방",1
"69","루브스방이구요",1
"70","마트",1
"71","만원",1
"72","맥기",1
"73","맥키",3
"74","맥키룸",1
"75","맥키방",3
"76","맥키방으로",1
"77","명",4
"78","명예약하고싶은데요",1
"79","명이랑",1
"80","몇가지",2
"81","몇번",1
"82","몇시",1
"83","목",1
"84","목요일",2
"85","무선인터넷",1
"86","문의글",1
"87","문의드릴",1
"88","문의좀",1
"89","문의좀하려구요",1
"90","문자",1
"91","미로",5
"92","미로방",4
"93","미술관",1
"94","미술관옆동물원",1
"95","밑",2
"96","바렛",6
"97","바렛방",1
"98","바렛예약자",1
"99","바렛으로",1
"100","바베규는",1
"101","바베큐",12
"102","바베큐세트",4
"103","바베큐셋트",1
"104","바베큐용",1
"105","바베큐이용하는거요",1
"106","바베큐이용하려",1
"107","바베큐장",1
"108","바베큐장이",1
"109","바베큐장이용시간이",1
"110","박",3
"111","박할",1
"112","밤",1
"113","방",3
"114","방금예약신청은해두",1
"115","번거",2
"116","복층",1
"117","부업비품중",1
"118","비",2
"119","비수기",1
"120","비품중",1
"121","사장님",3
"122","사진으로보니깐",1
"123","살",1
"124","살아이와",1
"125","샤워실",1
"126","서바이벌",1
"127","서울말구",1
"128","서지연",1
"129","설탕",1
"130","성인",4
"131","세트",1
"132","소금",1
"133","속초",1
"134","수",2
"135","수상레져",2
"136","수상레져즐길수있는곳이",1
"137","수상패키지",1
"138","수영모착용",1
"139","수영복",1
"140","수영장",15
"141","숯불",1
"142","숯불이용",1
"143","스케쥴",1
"144","시",1
"145","시되면",1
"146","시부모님",1
"147","신랑들",1
"148","실시간",1
"149","실시간예약",1
"150","아기",2
"151","아니",1
"152","아래",2
"153","아래글",1
"154","아래아랫글",1
"155","아침",1
"156","아침고요수목원",1
"157","안",2
"158","안녕하",254
"159","안녕하세",3
"160","안녕하십니까",1
"161","앞",1
"162","애완동물",1
"163","앨리시안강촌",1
"164","야외",1
"165","어른",5
"166","어제",7
"167","얼마전",1
"168","에",1
"169","엘가",3
"170","엘가방",1
"171","여자",2
"172","여쭈",3
"173","연계되",1
"174","예약",15
"175","예약가능",1
"176","예약문의드립니",1
"177","예약바",1
"178","예약번호",1
"179","예약신청을",1
"180","예약신청자",1
"181","예약자",9
"182","예약한",3
"183","예전",1
"184","오늘",3
"185","오전",1
"186","오픈",1
"187","요런거는",1
"188","요코방",1
"189","욕실용품이요",1
"190","우리은행",1
"191","우천시",1
"192","워크샵",1
"193","원하",1
"194","월",112
"195","월달",2
"196","월요일",3
"197","월주중에",1
"198","유아",1
"199","유호석",1
"200","이르",1
"201","이번",5
"202","이번달",2
"203","이번주",12
"204","이번주말",1
"205","이벤트",3
"206","이용",1
"207","이용문의",1
"208","이용요금",1
"209","이용하려",1
"210","이인실",1
"211","인",1
"212","인가족이",1
"213","인두명",1
"214","인실",1
"215","인실에",1
"216","인원",1
"217","일",77
"218","일날",18
"219","일디니에방이에요",1
"220","일시",1
"221","일에",7
"222","일예약하고싶은데",1
"223","일요일",1
"224","일자",1
"225","일자로",2
"226","일층",1
"227","일토요일에",1
"228","일행",1
"229","입금",4
"230","입금완료",3
"231","입금확인",2
"232","입금확인해주시구요",1
"233","입실",1
"234","입실시간",2
"235","입실픽업하구",1
"236","자",1
"237","자가용",1
"238","자동차",1
"239","자라섬",1
"240","작년",2
"241","잘쉬고왔습니다",1
"242","저",18
"243","저녁",2
"244","저녁바베큐준비",1
"245","저번주만해도",1
"246","저희",21
"247","전주",1
"248","전화",2
"249","전화끊고나서",1
"250","제이드",1
"251","제이드가든수목원",1
"252","제일중요",1
"253","제일큰방",1
"254","조미료",1
"255","조식",2
"256","좀",2
"257","죄송",1
