"","Var1","Freq"
"1","가",1
"2","가격문",1
"3","가능한",1
"4","가평",1
"5","가평역",1
"6","가평제일의펜션여행전문할인마트",1
"7","감사해",1
"8","개별바베큐",1
"9","객실",5
"10","객실관련",1
"11","객실문",1
"12","객실위치문의드",1
"13","객실이용문",1
"14","객실할인에대해문의드려",1
"15","견적",1
"16","결제관련",1
"17","결제에관해서",1
"18","관광지",1
"19","관광지입장권",1
"20","교",1
"21","궁",1
"22","궁금",1
"23","궁금궁",1
"24","궁금사항",1
"25","궁금한거여쭤볼게",1
"26","궁금한게",2
"27","궁금한점",1
"28","근처",1
"29","금",1
"30","기준",1
"31","기준인원",2
"32","기타",1
"33","길",1
"34","낚",1
"35","날씨",1
"36","날짜변",1
"37","남이섬",4
"38","남이섬픽",1
"39","내",4
"40","년",2
"41","다니",1
"42","다시문",1
"43","단체",1
"44","단체문",1
"45","대중교통",1
"46","동물원",1
"47","라우",1
"48","러셀",1
"49","레",1
"50","레저",1
"51","레저문",1
"52","루비스",1
"53","룸변경",1
"54","마지막",1
"55","맥키예",1
"56","멀",1
"57","몇",2
"58","몇가지",8
"59","목요일날",1
"60","문",71
"61","문의",2
"62","문의드",56
"63","문의드릴",8
"64","문의드릴거",1
"65","문의드릴게",1
"66","문의드립니",95
"67","문의몇가지",1
"68","문의문",1
"69","문의사항",1
"70","문의사항있습니",1
"71","문의좀드려",2
"72","문의할",2
"73","문의합",18
"74","문의해",2
"75","물놀",1
"76","물놀이",1
"77","물품",1
"78","미",1
"79","미로",3
"80","미로방",3
"81","미술관옆동물원",2
"82","바베",4
"83","바베규",1
"84","바베큐",50
"85","바베큐관련문의글",1
"86","바베큐문",5
"87","바베큐문의드립니",1
"88","바베큐문의합",1
"89","바베큐세트",15
"90","바베큐세트관련",1
"91","바베큐세트문",1
"92","바베큐세트신청",1
"93","바베큐셋",1
"94","바베큐셋트",2
"95","바베큐셋트예약",1
"96","바베큐식사",1
"97","바베큐신청",3
"98","바베큐신청할",1
"99","바베큐신청합",1
"100","바베큐예",2
"101","바베큐예약신청합",1
"102","바베큐이용문",3
"103","바베큐장",2
"104","바베큐장문",1
"105","바베큐주문",1
"106","바베큐질",1
"107","바베큐패키지",1
"108","바베큐패키지관",1
"109","바베큐패키지관련",1
"110","바비큐",4
"111","바비큐문",1
"112","바비큐장",1
"113","박",1
"114","방",4
"115","방금입금",1
"116","방문",1
"117","번지점프문",1
"118","부탁",1
"119","비",1
"120","비수기",1
"121","비오",1
"122","비품",1
"123","빔프로젝",1
"124","빠르",1
"125","쁘띠프랑스",1
"126","사장님",1
"127","사징님",1
"128","산악오토바이",1
"129","성수기",1
"130","수상레저",3
"131","수상레저문",1
"132","수상레저이용",1
"133","수상레져",2
"134","수상레포츠",1
"135","수상패키지",1
"136","수영",3
"137","수영복",1
"138","수영장",22
"139","수영장문",3
"140","수영장문의드",1
"141","수영장이용관",1
"142","수영장이용문",2
"143","수요일",1
"144","숙박",1
"145","숙박문",3
"146","숙박문의드립니",1
"147","숙소",1
"148","숯불이용관련문",1
"149","스쿠터",1
"150","스키패키지",1
"151","슬리퍼",1
"152","시설",2
"153","시설문",2
"154","시설이용문",1
"155","식",1
"156","식사하",1
"157","식초",1
"158","실시간",3
"159","실시간예약문",1
"160","실추",1
"161","싸장",1
"162","싸장님",1
"163","아기데리",1
"164","아까전화드",1
"165","아이들",1
"166","아침고요수목",2
"167","안녕하",10
"168","안녕하세",12
"169","애완견",1
"170","야식질",1
"171","어린이",1
"172","엘리시안강촌",2
"173","여쭈",2
"174","영수증",1
"175","예약",34
"176","예약가능",1
"177","예약가능한지",1
"178","예약관",1
"179","예약관련",3
"180","예약관련문",1
"181","예약날짜",1
"182","예약대",1
"183","예약대기문의드",1
"184","예약대기상태",1
"185","예약문",17
"186","예약문의드",4
"187","예약문의드릴",1
"188","예약문의드립니",7
"189","예약변",1
"190","예약변경",1
"191","예약변경문",2
"192","예약변경요청",1
"193","예약수정",1
"194","예약신청",1
"195","예약이",1
"196","예약자",1
"197","예약취",1
"198","예약취소",1
"199","예약취소문",1
"200","예약취소부탁드",1
"201","예약취소합",1
"202","예약하려",1
"203","예약하려합",1
"204","예약하였습니",1
"205","예약했습니",2
"206","예약확",4
"207","예약확인",11
"208","예약확인부탁드리구요",1
"209","예약확인부탁드립니",1
"210","예약확인요",1
"211","예약확인해주",1
"212","예약환불",1
"213","오늘꺼",1
"214","와이파이",1
"215","요금",2
"216","요금문",1
"217","요코룸",1
"218","우리",1
"219","우천시",3
"220","운영자님",1
"221","월",23
"222","위치",1
"223","유",1
"224","유아기",1
"225","의사",4
"226","이것저것",1
"227","이름변",1
"228","이번달",1
"229","이번주",4
"230","이벤트",1
"231","이벤트요",1
"232","이용",8
"233","이용관련",1
"234","이용관련해서",1
"235","이용기대문의",1
"236","이용문",27
"237","이용문의",1
"238","이용문의드",2
"239","이용문의드립니",3
"240","이용문의요",1
"241","이용시",1
"242","이용요금",2
"243","이용요금문의드립니",1
"244","인원문",3
"245","인원문의합",1
"246","인원변경",1
"247","인원수",2
"248","인원추가",2
"249","인원추가문",1
"250","일",15
"251","일날",3
"252","일에",1
"253","일자",2
"254","일정문의",1
"255","일토요일",1
"256","입금",13
"257","입금관",1
"258","입금관련",2
"259","입금문",1
"260","입금문의",1
"261","입금완",1
"262","입금완료",4
"263","입금완료하였습니",1
"264","입금완료했습니",2
"265","입금자명",1
"266","입금전",1
"267","입금하였습니",1
"268","입금했는데왜취소된거에",1
"269","입금했습니",5
"270","입금확",6
"271","입금확인",8
"272","입금확인부탁드",3
"273","입금확인부탁드립니",3
"274","입금확인해주",2
"275","입급했습니",1
"276","입급확인부탁",1
"277","입실",1
"278","입실시간",2
"279","자라섬",3
"280","자전거",2
"281","자전거이용",1
"282","잘쉬고",1
"283","저",3
"284","저녁",1
"285","제이가든수목원",1
"286","제이드",2
"287","제이드가든수목",1
"288","조식",3
"289","조식제공되",1
"290","죄송한",1
"291","죄송한데",2
"292","주문",1
"293","주변",6
"294","주변관광",2
"295","주변관광지에대해",1
"296","주변맛집좀",1
"297","주변여행지",1
"298","주변택시관",1
"299","주중",2
"300","지",1
"301","질문",12
"302","질문드립니",4
"303","질문좀",1
"304","최대가능",1
"305","추가",2
"306","추가요금문의입니",1
"307","추가인원",5
"308","추가인원문",1
"309","추석연휴",1
"310","추천",1
"311","춥",1
"312","취",2
"313","취사도구",1
"314","취소",1
"315","타문의사",1
"316","택배",1
"317","토",1
"318","토요일",2
"319","퇴실",1
"320","퇴실픽업관",1
"321","튜브",1
"322","펜민",1
"323","펜션",5
"324","펜션문",1
"325","펜션알아보는중인",1
"326","펜션예약",2
"327","펜션이용",2
"328","펜션이용관련문의드립니",1
"329","펜션이용문",2
"330","펜션주변",1
"331","펜션지기",2
"332","픽업",18
"333","픽업가능여부확",1
"334","픽업관",1
"335","픽업관련",1
"336","픽업관련문",1
"337","픽업관련문의드립니",1
"338","픽업관련질문드립니",1
"339","픽업문",11
"340","픽업문의드",8
"341","픽업문의드립니",1
"342","픽업문의좀",1
"343","픽업및문",1
"344","픽업신청",1
"345","픽업요청관련",1
"346","픽업질",1
"347","필독",1
"348","하이징거",2
"349","할인",1
"350","할인요금",2
"351","확인",3
"352","확인부탁드",1
"353","확인부탁드립니",4
"354","확인해주",1
"355","환",1
"356","환불",1
"357","환상의드라이브코스",1
